#    L    TT             EE             TE             PP             TP          
   142   0.413744E+04   0.103848E+01  -0.435517E+02   0.464067E+07  -0.106526E+05
   143   0.417116E+04   0.103843E+01  -0.437894E+02   0.460633E+07  -0.104825E+05
   144   0.420467E+04   0.103790E+01  -0.440080E+02   0.457235E+07  -0.103158E+05
   145   0.423803E+04   0.103703E+01  -0.442066E+02   0.453874E+07  -0.101526E+05
   146   0.427147E+04   0.103560E+01  -0.443854E+02   0.450549E+07  -0.999262E+04
   147   0.430455E+04   0.103384E+01  -0.445429E+02   0.447258E+07  -0.983586E+04
   148   0.433750E+04   0.103159E+01  -0.446806E+02   0.444003E+07  -0.968218E+04
   149   0.437038E+04   0.102892E+01  -0.447971E+02   0.440781E+07  -0.953148E+04
   150   0.440297E+04   0.102592E+01  -0.448901E+02   0.437594E+07  -0.938363E+04
   151   0.443543E+04   0.102249E+01  -0.449626E+02   0.434439E+07  -0.923855E+04
   152   0.446761E+04   0.101857E+01  -0.450132E+02   0.431317E+07  -0.909619E+04
   153   0.449965E+04   0.101430E+01  -0.450397E+02   0.428227E+07  -0.895650E+04
   154   0.453148E+04   0.100968E+01  -0.450440E+02   0.425170E+07  -0.881944E+04
   155   0.456311E+04   0.100470E+01  -0.450257E+02   0.422144E+07  -0.868499E+04
   156   0.459438E+04   0.999367E+00  -0.449845E+02   0.419149E+07  -0.855310E+04
   157   0.462560E+04   0.993667E+00  -0.449189E+02   0.416186E+07  -0.842373E+04
   158   0.465653E+04   0.987676E+00  -0.448298E+02   0.413253E+07  -0.829684E+04
   159   0.468719E+04   0.981240E+00  -0.447170E+02   0.410350E+07  -0.817240E+04
   160   0.471764E+04   0.974507E+00  -0.445790E+02   0.407478E+07  -0.805036E+04
   161   0.474788E+04   0.967546E+00  -0.444173E+02   0.404635E+07  -0.793069E+04
   162   0.477785E+04   0.960206E+00  -0.442319E+02   0.401821E+07  -0.781335E+04
   163   0.480769E+04   0.952557E+00  -0.440213E+02   0.399036E+07  -0.769830E+04
   164   0.483710E+04   0.944671E+00  -0.437868E+02   0.396280E+07  -0.758550E+04
   165   0.486639E+04   0.936470E+00  -0.435263E+02   0.393552E+07  -0.747492E+04
   166   0.489540E+04   0.928099E+00  -0.432411E+02   0.390852E+07  -0.736651E+04
   167   0.492421E+04   0.919332E+00  -0.429321E+02   0.388180E+07  -0.726023E+04
   168   0.495260E+04   0.910537E+00  -0.425970E+02   0.385535E+07  -0.715606E+04
   169   0.498071E+04   0.901414E+00  -0.422356E+02   0.382917E+07  -0.705394E+04
   170   0.500855E+04   0.892182E+00  -0.418495E+02   0.380325E+07  -0.695384E+04
   171   0.503596E+04   0.882838E+00  -0.414365E+02   0.377760E+07  -0.685573E+04
   172   0.506303E+04   0.873304E+00  -0.409979E+02   0.375220E+07  -0.675956E+04
   173   0.508968E+04   0.863577E+00  -0.405338E+02   0.372706E+07  -0.666529E+04
   174   0.511605E+04   0.853951E+00  -0.400440E+02   0.370217E+07  -0.657289E+04
   175   0.514209E+04   0.844125E+00  -0.395279E+02   0.367753E+07  -0.648232E+04
   176   0.516762E+04   0.834319E+00  -0.389854E+02   0.365313E+07  -0.639353E+04
   177   0.519282E+04   0.824453E+00  -0.384180E+02   0.362898E+07  -0.630650E+04
   178   0.521759E+04   0.814746E+00  -0.378240E+02   0.360506E+07  -0.622118E+04
   179   0.524195E+04   0.804896E+00  -0.372034E+02   0.358138E+07  -0.613754E+04
   180   0.526604E+04   0.795120E+00  -0.365576E+02   0.355794E+07  -0.605553E+04
   181   0.528964E+04   0.785414E+00  -0.358865E+02   0.353473E+07  -0.597512E+04
   182   0.531282E+04   0.775847E+00  -0.351886E+02   0.351174E+07  -0.589628E+04
   183   0.533552E+04   0.766340E+00  -0.344654E+02   0.348898E+07  -0.581896E+04
   184   0.535788E+04   0.756963E+00  -0.337159E+02   0.346644E+07  -0.574312E+04
   185   0.537982E+04   0.747858E+00  -0.329423E+02   0.344413E+07  -0.566873E+04
   186   0.540098E+04   0.738881E+00  -0.321417E+02   0.342203E+07  -0.559576E+04
   187   0.542203E+04   0.730167E+00  -0.313154E+02   0.340014E+07  -0.552415E+04
   188   0.544259E+04   0.721697E+00  -0.304648E+02   0.337846E+07  -0.545388E+04
   189   0.546259E+04   0.713503E+00  -0.295884E+02   0.335700E+07  -0.538491E+04
   190   0.548248E+04   0.705632E+00  -0.286883E+02   0.333574E+07  -0.531719E+04
   191   0.550152E+04   0.698101E+00  -0.277615E+02   0.331468E+07  -0.525070E+04
   192   0.552022E+04   0.690928E+00  -0.268101E+02   0.329382E+07  -0.518539E+04
   193   0.553837E+04   0.684153E+00  -0.258357E+02   0.327316E+07  -0.512122E+04
   194   0.555619E+04   0.677800E+00  -0.248358E+02   0.325270E+07  -0.505816E+04
   195   0.557345E+04   0.671902E+00  -0.238126E+02   0.323243E+07  -0.499617E+04
   196   0.559016E+04   0.666491E+00  -0.227653E+02   0.321234E+07  -0.493522E+04
   197   0.560646E+04   0.661607E+00  -0.216953E+02   0.319244E+07  -0.487525E+04
   198   0.562229E+04   0.657267E+00  -0.206019E+02   0.317273E+07  -0.481624E+04
   199   0.563764E+04   0.653503E+00  -0.194857E+02   0.315320E+07  -0.475815E+04
   200   0.565251E+04   0.650340E+00  -0.183473E+02   0.313384E+07  -0.470094E+04
   201   0.566683E+04   0.647834E+00  -0.171859E+02   0.311466E+07  -0.464457E+04
   202   0.568068E+04   0.645991E+00  -0.160030E+02   0.309566E+07  -0.458904E+04
   203   0.569397E+04   0.644872E+00  -0.147977E+02   0.307682E+07  -0.453433E+04
   204   0.570664E+04   0.644498E+00  -0.135730E+02   0.305816E+07  -0.448043E+04
   205   0.571882E+04   0.644915E+00  -0.123264E+02   0.303966E+07  -0.442733E+04
   206   0.573038E+04   0.646160E+00  -0.110592E+02   0.302133E+07  -0.437503E+04
   207   0.574145E+04   0.648256E+00  -0.977185E+01   0.300317E+07  -0.432350E+04
   208   0.575181E+04   0.651254E+00  -0.846465E+01   0.298518E+07  -0.427275E+04
   209   0.576161E+04   0.655178E+00  -0.713794E+01   0.296734E+07  -0.422276E+04
   210   0.577086E+04   0.660080E+00  -0.579253E+01   0.294967E+07  -0.417352E+04
   211   0.577953E+04   0.665989E+00  -0.442841E+01   0.293215E+07  -0.412502E+04
   212   0.578750E+04   0.672936E+00  -0.304642E+01   0.291480E+07  -0.407726E+04
   213   0.579497E+04   0.680965E+00  -0.164645E+01   0.289760E+07  -0.403021E+04
   214   0.580181E+04   0.690070E+00  -0.229611E+00   0.288055E+07  -0.398388E+04
   215   0.580807E+04   0.700443E+00   0.120343E+01   0.286366E+07  -0.393824E+04
   216   0.581369E+04   0.711900E+00   0.265326E+01   0.284692E+07  -0.389330E+04
   217   0.581881E+04   0.724596E+00   0.411797E+01   0.283033E+07  -0.384904E+04
   218   0.582329E+04   0.738533E+00   0.559786E+01   0.281389E+07  -0.380545E+04
   219   0.582720E+04   0.753709E+00   0.709397E+01   0.279760E+07  -0.376252E+04
   220   0.583052E+04   0.770275E+00   0.860192E+01   0.278145E+07  -0.372025E+04
   221   0.583328E+04   0.788155E+00   0.101240E+02   0.276544E+07  -0.367861E+04
   222   0.583545E+04   0.807499E+00   0.116589E+02   0.274958E+07  -0.363761E+04
   223   0.583690E+04   0.828233E+00   0.132073E+02   0.273386E+07  -0.359722E+04
   224   0.583792E+04   0.850357E+00   0.147657E+02   0.271828E+07  -0.355745E+04
   225   0.583828E+04   0.874021E+00   0.163370E+02   0.270284E+07  -0.351827E+04
   226   0.583805E+04   0.899223E+00   0.179177E+02   0.268753E+07  -0.347969E+04
   227   0.583717E+04   0.925965E+00   0.195093E+02   0.267235E+07  -0.344169E+04
   228   0.583578E+04   0.954246E+00   0.211104E+02   0.265731E+07  -0.340426E+04
   229   0.583380E+04   0.984142E+00   0.227197E+02   0.264240E+07  -0.336739E+04
   230   0.583116E+04   0.101565E+01   0.243378E+02   0.262763E+07  -0.333107E+04
   231   0.582786E+04   0.104885E+01   0.259643E+02   0.261297E+07  -0.329529E+04
   232   0.582404E+04   0.108367E+01   0.275975E+02   0.259845E+07  -0.326004E+04
   233   0.581962E+04   0.112032E+01   0.292363E+02   0.258405E+07  -0.322531E+04
   234   0.581447E+04   0.115866E+01   0.308813E+02   0.256978E+07  -0.319109E+04
   235   0.580879E+04   0.119877E+01   0.325312E+02   0.255562E+07  -0.315737E+04
   236   0.580245E+04   0.124064E+01   0.341860E+02   0.254159E+07  -0.312414E+04
