#    L    TT             EE             TE             PP             TP          
   149   0.435685E+04   0.102965E+01  -0.447826E+02   0.288392E+07   0.356635E+04
   150   0.438945E+04   0.102675E+01  -0.448798E+02   0.286561E+07   0.353296E+04
   151   0.442191E+04   0.102342E+01  -0.449567E+02   0.284747E+07   0.350003E+04
   152   0.445409E+04   0.101960E+01  -0.450116E+02   0.282948E+07   0.346754E+04
   153   0.448614E+04   0.101543E+01  -0.450425E+02   0.281165E+07   0.343548E+04
   154   0.451798E+04   0.101091E+01  -0.450515E+02   0.279398E+07   0.340385E+04
   155   0.454961E+04   0.100603E+01  -0.450378E+02   0.277646E+07   0.337263E+04
   156   0.458088E+04   0.100079E+01  -0.450014E+02   0.275909E+07   0.334181E+04
   157   0.461210E+04   0.995184E+00  -0.449408E+02   0.274188E+07   0.331139E+04
   158   0.464304E+04   0.989287E+00  -0.448566E+02   0.272481E+07   0.328135E+04
   159   0.467370E+04   0.982944E+00  -0.447490E+02   0.270790E+07   0.325168E+04
   160   0.470416E+04   0.976300E+00  -0.446163E+02   0.269114E+07   0.322238E+04
   161   0.473442E+04   0.969427E+00  -0.444600E+02   0.267452E+07   0.319342E+04
   162   0.476441E+04   0.962172E+00  -0.442801E+02   0.265806E+07   0.316481E+04
   163   0.479427E+04   0.954606E+00  -0.440751E+02   0.264173E+07   0.313652E+04
   164   0.482371E+04   0.946799E+00  -0.438464E+02   0.262556E+07   0.310856E+04
   165   0.485303E+04   0.938675E+00  -0.435917E+02   0.260952E+07   0.308091E+04
   166   0.488207E+04   0.930377E+00  -0.433126E+02   0.259363E+07   0.305355E+04
   167   0.491092E+04   0.921679E+00  -0.430098E+02   0.257788E+07   0.302649E+04
   168   0.493936E+04   0.912950E+00  -0.426809E+02   0.256227E+07   0.299970E+04
   169   0.496753E+04   0.903888E+00  -0.423260E+02   0.254680E+07   0.297318E+04
   170   0.499543E+04   0.894713E+00  -0.419465E+02   0.253147E+07   0.294693E+04
   171   0.502292E+04   0.885421E+00  -0.415401E+02   0.251627E+07   0.292092E+04
   172   0.505007E+04   0.875934E+00  -0.411084E+02   0.250121E+07   0.289514E+04
   173   0.507680E+04   0.866250E+00  -0.406513E+02   0.248629E+07   0.286960E+04
   174   0.510328E+04   0.856661E+00  -0.401687E+02   0.247149E+07   0.284427E+04
   175   0.512942E+04   0.846866E+00  -0.396599E+02   0.245684E+07   0.281915E+04
   176   0.515508E+04   0.837085E+00  -0.391249E+02   0.244231E+07   0.279422E+04
   177   0.518040E+04   0.827239E+00  -0.385650E+02   0.242791E+07   0.276949E+04
   178   0.520532E+04   0.817545E+00  -0.379788E+02   0.241364E+07   0.274497E+04
   179   0.522983E+04   0.807701E+00  -0.373661E+02   0.239950E+07   0.272063E+04
   180   0.525407E+04   0.797925E+00  -0.367283E+02   0.238549E+07   0.269650E+04
   181   0.527784E+04   0.788211E+00  -0.360654E+02   0.237160E+07   0.267257E+04
   182   0.530120E+04   0.778628E+00  -0.353757E+02   0.235783E+07   0.264884E+04
   183   0.532408E+04   0.769098E+00  -0.346608E+02   0.234419E+07   0.262531E+04
   184   0.534663E+04   0.759689E+00  -0.339197E+02   0.233067E+07   0.260199E+04
   185   0.536877E+04   0.750544E+00  -0.331547E+02   0.231726E+07   0.257886E+04
   186   0.539013E+04   0.741518E+00  -0.323627E+02   0.230398E+07   0.255594E+04
   187   0.541139E+04   0.732745E+00  -0.315450E+02   0.229081E+07   0.253323E+04
   188   0.543217E+04   0.724207E+00  -0.307032E+02   0.227776E+07   0.251072E+04
   189   0.545239E+04   0.715936E+00  -0.298356E+02   0.226482E+07   0.248842E+04
   190   0.547250E+04   0.707977E+00  -0.289443E+02   0.225200E+07   0.246632E+04
   191   0.549177E+04   0.700348E+00  -0.280264E+02   0.223929E+07   0.244443E+04
   192   0.551070E+04   0.693066E+00  -0.270840E+02   0.222668E+07   0.242275E+04
   193   0.552909E+04   0.686171E+00  -0.261185E+02   0.221419E+07   0.240128E+04
   194   0.554714E+04   0.679688E+00  -0.251276E+02   0.220181E+07   0.238002E+04
   195   0.556464E+04   0.673647E+00  -0.241134E+02   0.218953E+07   0.235897E+04
   196   0.558159E+04   0.668081E+00  -0.230751E+02   0.217736E+07   0.233813E+04
   197   0.559814E+04   0.663030E+00  -0.220141E+02   0.216529E+07   0.231750E+04
   198   0.561421E+04   0.658510E+00  -0.209297E+02   0.215333E+07   0.229709E+04
   199   0.562980E+04   0.654554E+00  -0.198224E+02   0.214146E+07   0.227689E+04
   200   0.564492E+04   0.651186E+00  -0.186929E+02   0.212970E+07   0.225691E+04
   201   0.565949E+04   0.648461E+00  -0.175405E+02   0.211803E+07   0.223714E+04
   202   0.567358E+04   0.646386E+00  -0.163664E+02   0.210647E+07   0.221758E+04
   203   0.568712E+04   0.645021E+00  -0.151700E+02   0.209500E+07   0.219823E+04
   204   0.570002E+04   0.644388E+00  -0.139540E+02   0.208363E+07   0.217910E+04
   205   0.571245E+04   0.644532E+00  -0.127162E+02   0.207235E+07   0.216016E+04
   206   0.572425E+04   0.645490E+00  -0.114577E+02   0.206117E+07   0.214144E+04
   207   0.573556E+04   0.647285E+00  -0.101789E+02   0.205008E+07   0.212291E+04
   208   0.574617E+04   0.649970E+00  -0.888021E+01   0.203908E+07   0.210458E+04
   209   0.575621E+04   0.653566E+00  -0.756196E+01   0.202818E+07   0.208644E+04
   210   0.576569E+04   0.658126E+00  -0.622493E+01   0.201737E+07   0.206850E+04
   211   0.577461E+04   0.663680E+00  -0.486910E+01   0.200664E+07   0.205075E+04
   212   0.578282E+04   0.670257E+00  -0.349531E+01   0.199601E+07   0.203319E+04
   213   0.579053E+04   0.677904E+00  -0.210345E+01   0.198547E+07   0.201582E+04
   214   0.579760E+04   0.686612E+00  -0.694618E+00   0.197501E+07   0.199863E+04
   215   0.580411E+04   0.696574E+00   0.730517E+00   0.196465E+07   0.198162E+04
   216   0.580997E+04   0.707606E+00   0.217256E+01   0.195436E+07   0.196479E+04
   217   0.581533E+04   0.719864E+00   0.362960E+01   0.194417E+07   0.194814E+04
   218   0.582004E+04   0.733347E+00   0.510193E+01   0.193406E+07   0.193166E+04
   219   0.582419E+04   0.748057E+00   0.659062E+01   0.192403E+07   0.191535E+04
   220   0.582775E+04   0.764141E+00   0.809128E+01   0.191408E+07   0.189921E+04
   221   0.583074E+04   0.781527E+00   0.960623E+01   0.190422E+07   0.188324E+04
   222   0.583316E+04   0.800362E+00   0.111341E+02   0.189444E+07   0.186743E+04
   223   0.583484E+04   0.820572E+00   0.126756E+02   0.188474E+07   0.185179E+04
   224   0.583609E+04   0.842159E+00   0.142273E+02   0.187512E+07   0.183630E+04
   225   0.583669E+04   0.865270E+00   0.157921E+02   0.186558E+07   0.182098E+04
   226   0.583671E+04   0.889906E+00   0.173664E+02   0.185611E+07   0.180580E+04
   227   0.583606E+04   0.916067E+00   0.189518E+02   0.184673E+07   0.179078E+04
   228   0.583491E+04   0.943754E+00   0.205469E+02   0.183742E+07   0.177591E+04
   229   0.583316E+04   0.973040E+00   0.221502E+02   0.182818E+07   0.176119E+04
   230   0.583076E+04   0.100393E+01   0.237627E+02   0.181902E+07   0.174661E+04
   231   0.582769E+04   0.103649E+01   0.253837E+02   0.180993E+07   0.173218E+04
   232   0.582410E+04   0.107065E+01   0.270116E+02   0.180092E+07   0.171788E+04
   233   0.581992E+04   0.110664E+01   0.286453E+02   0.179198E+07   0.170372E+04
   234   0.581500E+04   0.114430E+01   0.302854E+02   0.178311E+07   0.168970E+04
   235   0.580956E+04   0.118371E+01   0.319306E+02   0.177431E+07   0.167581E+04
   236   0.580345E+04   0.122487E+01   0.335810E+02   0.176558E+07   0.166206E+04
   237   0.579674E+04   0.126786E+01   0.352352E+02   0.175692E+07   0.164843E+04
   238   0.578944E+04   0.131274E+01   0.368932E+02   0.174833E+07   0.163492E+04
   239   0.578160E+04   0.135938E+01   0.385544E+02   0.173980E+07   0.162154E+04
   240   0.577302E+04   0.140784E+01   0.402166E+02   0.173134E+07   0.160828E+04
   241   0.576398E+04   0.145828E+01   0.418807E+02   0.172295E+07   0.159514E+04
   242   0.575434E+04   0.151054E+01   0.435461E+02   0.171462E+07   0.158211E+04
   243   0.574409E+04   0.156477E+01   0.452112E+02   0.170636E+07   0.156920E+04
   244   0.573324E+04   0.162091E+01   0.468771E+02   0.169815E+07   0.155640E+04
   245   0.572178E+04   0.167902E+01   0.485406E+02   0.169001E+07   0.154371E+04
   246   0.570978E+04   0.173911E+01   0.502035E+02   0.168193E+07   0.153112E+04
