#           k/h    P           
   0.491477E+00   0.240527E+03
   0.501405E+00   0.230348E+03
   0.511534E+00   0.220530E+03
   0.521868E+00   0.211070E+03
   0.532411E+00   0.201965E+03
   0.543166E+00   0.193210E+03
   0.554139E+00   0.184799E+03
   0.565333E+00   0.176726E+03
   0.576753E+00   0.168984E+03
   0.588404E+00   0.161566E+03
   0.600291E+00   0.154464E+03
   0.612418E+00   0.147669E+03
   0.624789E+00   0.141173E+03
   0.637411E+00   0.134963E+03
   0.650288E+00   0.129027E+03
   0.663424E+00   0.123350E+03
   0.676826E+00   0.117921E+03
   0.690499E+00   0.112728E+03
   0.704448E+00   0.107761E+03
   0.718679E+00   0.103008E+03
   0.733197E+00   0.984600E+02
   0.748009E+00   0.941077E+02
   0.763119E+00   0.899421E+02
   0.778536E+00   0.859547E+02
   0.794263E+00   0.821377E+02
   0.810308E+00   0.784835E+02
   0.826677E+00   0.749847E+02
   0.843378E+00   0.716347E+02
   0.860415E+00   0.684269E+02
   0.877797E+00   0.653552E+02
   0.895529E+00   0.624142E+02
   0.913620E+00   0.595991E+02
   0.932076E+00   0.569047E+02
   0.950906E+00   0.543265E+02
   0.970115E+00   0.518598E+02
   0.989713E+00   0.495003E+02
   0.100971E+01   0.472436E+02
   0.103010E+01   0.450856E+02
   0.105091E+01   0.430224E+02
   0.107214E+01   0.410501E+02
   0.109380E+01   0.391649E+02
   0.111590E+01   0.373633E+02
   0.113844E+01   0.356419E+02
   0.116144E+01   0.339973E+02
   0.118490E+01   0.324262E+02
   0.120884E+01   0.309257E+02
   0.123326E+01   0.294927E+02
   0.125817E+01   0.281242E+02
   0.128359E+01   0.268174E+02
   0.130952E+01   0.255696E+02
   0.133597E+01   0.243781E+02
   0.136296E+01   0.232406E+02
   0.139049E+01   0.221545E+02
   0.141858E+01   0.211177E+02
   0.144724E+01   0.201279E+02
   0.147648E+01   0.191832E+02
   0.150630E+01   0.182814E+02
   0.153673E+01   0.174206E+02
   0.156778E+01   0.165992E+02
   0.159945E+01   0.158152E+02
   0.163176E+01   0.150671E+02
   0.166472E+01   0.143533E+02
   0.169835E+01   0.136722E+02
   0.173266E+01   0.130224E+02
   0.176766E+01   0.124025E+02
   0.180337E+01   0.118114E+02
   0.183980E+01   0.112478E+02
   0.187697E+01   0.107104E+02
   0.191489E+01   0.101982E+02
   0.195357E+01   0.970999E+01
   0.199304E+01   0.924475E+01
   0.203330E+01   0.880147E+01
   0.207437E+01   0.837916E+01
   0.211628E+01   0.797688E+01
   0.215903E+01   0.759373E+01
   0.220265E+01   0.722884E+01
   0.224714E+01   0.688139E+01
   0.229254E+01   0.655058E+01
   0.233885E+01   0.623563E+01
