#    L    TT             EE             TE          
   169    0.49502E+04    0.90726E+00   -0.41239E+02
   170    0.49771E+04    0.89613E+00   -0.40730E+02
   171    0.50035E+04    0.88497E+00   -0.40193E+02
   172    0.50295E+04    0.87368E+00   -0.39627E+02
   173    0.50550E+04    0.86229E+00   -0.39034E+02
   174    0.50802E+04    0.85108E+00   -0.38414E+02
   175    0.51050E+04    0.83976E+00   -0.37765E+02
   176    0.51292E+04    0.82855E+00   -0.37088E+02
   177    0.51529E+04    0.81739E+00   -0.36383E+02
   178    0.51762E+04    0.80650E+00   -0.35651E+02
   179    0.51990E+04    0.79558E+00   -0.34890E+02
   180    0.52215E+04    0.78486E+00   -0.34102E+02
   181    0.52433E+04    0.77434E+00   -0.33288E+02
   182    0.52647E+04    0.76410E+00   -0.32445E+02
   183    0.52856E+04    0.75406E+00   -0.31576E+02
   184    0.53060E+04    0.74430E+00   -0.30680E+02
   185    0.53260E+04    0.73498E+00   -0.29759E+02
   186    0.53451E+04    0.72595E+00   -0.28809E+02
   187    0.53640E+04    0.71735E+00   -0.27834E+02
   188    0.53823E+04    0.70918E+00   -0.26833E+02
   189    0.54000E+04    0.70148E+00   -0.25806E+02
   190    0.54176E+04    0.69429E+00   -0.24755E+02
   191    0.54342E+04    0.68764E+00   -0.23677E+02
   192    0.54504E+04    0.68157E+00   -0.22574E+02
   193    0.54659E+04    0.67610E+00   -0.21448E+02
   194    0.54811E+04    0.67128E+00   -0.20297E+02
   195    0.54957E+04    0.66715E+00   -0.19122E+02
   196    0.55096E+04    0.66374E+00   -0.17924E+02
   197    0.55230E+04    0.66110E+00   -0.16704E+02
   198    0.55359E+04    0.65926E+00   -0.15460E+02
   199    0.55483E+04    0.65825E+00   -0.14195E+02
   200    0.55601E+04    0.65811E+00   -0.12908E+02
   201    0.55713E+04    0.65890E+00   -0.11599E+02
   202    0.55819E+04    0.66063E+00   -0.10270E+02
   203    0.55919E+04    0.66334E+00   -0.89188E+01
   204    0.56012E+04    0.66708E+00   -0.75498E+01
   205    0.56100E+04    0.67188E+00   -0.61604E+01
   206    0.56181E+04    0.67778E+00   -0.47518E+01
   207    0.56256E+04    0.68479E+00   -0.33246E+01
   208    0.56324E+04    0.69298E+00   -0.18793E+01
   209    0.56386E+04    0.70237E+00   -0.41639E+00
   210    0.56441E+04    0.71299E+00    0.10633E+01
   211    0.56490E+04    0.72490E+00    0.25596E+01
   212    0.56532E+04    0.73811E+00    0.40716E+01
   213    0.56568E+04    0.75267E+00    0.55993E+01
   214    0.56598E+04    0.76856E+00    0.71414E+01
   215    0.56621E+04    0.78600E+00    0.86971E+01
   216    0.56637E+04    0.80478E+00    0.10267E+02
   217    0.56648E+04    0.82506E+00    0.11849E+02
   218    0.56652E+04    0.84685E+00    0.13443E+02
   219    0.56650E+04    0.87015E+00    0.15051E+02
   220    0.56642E+04    0.89509E+00    0.16667E+02
   221    0.56628E+04    0.92161E+00    0.18294E+02
   222    0.56607E+04    0.94986E+00    0.19930E+02
   223    0.56579E+04    0.97975E+00    0.21576E+02
   224    0.56547E+04    0.10113E+01    0.23229E+02
   225    0.56507E+04    0.10446E+01    0.24891E+02
   226    0.56462E+04    0.10798E+01    0.26559E+02
   227    0.56410E+04    0.11167E+01    0.28233E+02
   228    0.56352E+04    0.11555E+01    0.29913E+02
   229    0.56288E+04    0.11961E+01    0.31597E+02
   230    0.56218E+04    0.12386E+01    0.33285E+02
   231    0.56141E+04    0.12830E+01    0.34977E+02
   232    0.56058E+04    0.13293E+01    0.36671E+02
   233    0.55969E+04    0.13777E+01    0.38367E+02
   234    0.55873E+04    0.14280E+01    0.40063E+02
   235    0.55772E+04    0.14804E+01    0.41760E+02
   236    0.55664E+04    0.15348E+01    0.43456E+02
   237    0.55549E+04    0.15913E+01    0.45151E+02
   238    0.55429E+04    0.16499E+01    0.46844E+02
   239    0.55304E+04    0.17106E+01    0.48535E+02
   240    0.55170E+04    0.17733E+01    0.50221E+02
   241    0.55033E+04    0.18383E+01    0.51903E+02
   242    0.54889E+04    0.19054E+01    0.53580E+02
   243    0.54740E+04    0.19747E+01    0.55251E+02
   244    0.54584E+04    0.20462E+01    0.56916E+02
   245    0.54423E+04    0.21199E+01    0.58573E+02
   246    0.54256E+04    0.21959E+01    0.60222E+02
   247    0.54084E+04    0.22740E+01    0.61862E+02
   248    0.53906E+04    0.23547E+01    0.63493E+02
   249    0.53724E+04    0.24373E+01    0.65113E+02
   250    0.53535E+04    0.25225E+01    0.66721E+02
   251    0.53343E+04    0.26098E+01    0.68319E+02
   252    0.53143E+04    0.26994E+01    0.69904E+02
   253    0.52940E+04    0.27913E+01    0.71474E+02
   254    0.52732E+04    0.28856E+01    0.73031E+02
   255    0.52518E+04    0.29820E+01    0.74574E+02
   256    0.52300E+04    0.30809E+01    0.76102E+02
   257    0.52078E+04    0.31819E+01    0.77609E+02
   258    0.51850E+04    0.32854E+01    0.79106E+02
   259    0.51618E+04    0.33911E+01    0.80578E+02
   260    0.51382E+04    0.34991E+01    0.82041E+02
   261    0.51142E+04    0.36092E+01    0.83473E+02
   262    0.50895E+04    0.37218E+01    0.84894E+02
   263    0.50648E+04    0.38366E+01    0.86299E+02
   264    0.50395E+04    0.39536E+01    0.87680E+02
   265    0.50136E+04    0.40728E+01    0.89028E+02
   266    0.49875E+04    0.41944E+01    0.90368E+02
   267    0.49609E+04    0.43180E+01    0.91675E+02
   268    0.49338E+04    0.44440E+01    0.92966E+02
   269    0.49063E+04    0.45721E+01    0.94232E+02
   270    0.48786E+04    0.47023E+01    0.95474E+02
   271    0.48504E+04    0.48346E+01    0.96691E+02
   272    0.48221E+04    0.49693E+01    0.97877E+02
   273    0.47933E+04    0.51057E+01    0.99046E+02
   274    0.47642E+04    0.52445E+01    0.10018E+03
   275    0.47347E+04    0.53852E+01    0.10129E+03
   276    0.47051E+04    0.55278E+01    0.10236E+03
   277    0.46750E+04    0.56726E+01    0.10342E+03
   278    0.46447E+04    0.58193E+01    0.10444E+03
   279    0.46141E+04    0.59679E+01    0.10543E+03
   280    0.45833E+04    0.61183E+01    0.10640E+03
   281    0.45523E+04    0.62708E+01    0.10733E+03
   282    0.45209E+04    0.64249E+01    0.10822E+03
   283    0.44893E+04    0.65808E+01    0.10909E+03
   284    0.44576E+04    0.67386E+01    0.10993E+03
   285    0.44257E+04    0.68981E+01    0.11073E+03
   286    0.43934E+04    0.70593E+01    0.11150E+03
   287    0.43610E+04    0.72221E+01    0.11224E+03
   288    0.43285E+04    0.73865E+01    0.11294E+03
   289    0.42957E+04    0.75525E+01    0.11361E+03
   290    0.42628E+04    0.77199E+01    0.11425E+03
   291    0.42298E+04    0.78894E+01    0.11484E+03
   292    0.41964E+04    0.80599E+01    0.11541E+03
   293    0.41632E+04    0.82311E+01    0.11593E+03
   294    0.41297E+04    0.84044E+01    0.11643E+03
   295    0.40963E+04    0.85783E+01    0.11688E+03
   296    0.40626E+04    0.87543E+01    0.11730E+03
   297    0.40288E+04    0.89302E+01    0.11769E+03
   298    0.39949E+04    0.91082E+01    0.11803E+03
   299    0.39610E+04    0.92876E+01    0.11834E+03
   300    0.39270E+04    0.94668E+01    0.11860E+03
   301    0.38929E+04    0.96474E+01    0.11883E+03
   302    0.38589E+04    0.98286E+01    0.11904E+03
   303    0.38248E+04    0.10011E+02    0.11919E+03
   304    0.37907E+04    0.10195E+02    0.11930E+03
   305    0.37566E+04    0.10379E+02    0.11938E+03
   306    0.37225E+04    0.10563E+02    0.11942E+03
   307    0.36884E+04    0.10748E+02    0.11941E+03
   308    0.36543E+04    0.10935E+02    0.11938E+03
   309    0.36204E+04    0.11121E+02    0.11930E+03
   310    0.35864E+04    0.11307E+02    0.11918E+03
   311    0.35525E+04    0.11494E+02    0.11902E+03
   312    0.35187E+04    0.11681E+02    0.11883E+03
   313    0.34849E+04    0.11869E+02    0.11860E+03
   314    0.34512E+04    0.12057E+02    0.11833E+03
   315    0.34177E+04    0.12244E+02    0.11802E+03
   316    0.33842E+04    0.12432E+02    0.11766E+03
   317    0.33509E+04    0.12619E+02    0.11728E+03
   318    0.33176E+04    0.12807E+02    0.11685E+03
   319    0.32846E+04    0.12994E+02    0.11639E+03
   320    0.32517E+04    0.13181E+02    0.11589E+03
   321    0.32189E+04    0.13369E+02    0.11535E+03
   322    0.31863E+04    0.13554E+02    0.11477E+03
   323    0.31539E+04    0.13740E+02    0.11416E+03
   324    0.31216E+04    0.13926E+02    0.11350E+03
   325    0.30896E+04    0.14109E+02    0.11282E+03
   326    0.30578E+04    0.14293E+02    0.11208E+03
   327    0.30261E+04    0.14476E+02    0.11132E+03
   328    0.29947E+04    0.14658E+02    0.11052E+03
   329    0.29635E+04    0.14839E+02    0.10969E+03
   330    0.29326E+04    0.15018E+02    0.10881E+03
   331    0.29020E+04    0.15197E+02    0.10790E+03
   332    0.28716E+04    0.15375E+02    0.10697E+03
   333    0.28414E+04    0.15552E+02    0.10600E+03
   334    0.28115E+04    0.15727E+02    0.10499E+03
   335    0.27818E+04    0.15900E+02    0.10394E+03
   336    0.27525E+04    0.16072E+02    0.10287E+03
   337    0.27235E+04    0.16244E+02    0.10175E+03
   338    0.26947E+04    0.16412E+02    0.10060E+03
   339    0.26663E+04    0.16580E+02    0.99427E+02
   340    0.26382E+04    0.16746E+02    0.98227E+02
   341    0.26104E+04    0.16910E+02    0.96984E+02
   342    0.25829E+04    0.17073E+02    0.95711E+02
   343    0.25558E+04    0.17232E+02    0.94410E+02
   344    0.25291E+04    0.17390E+02    0.93080E+02
   345    0.25026E+04    0.17546E+02    0.91721E+02
   346    0.24765E+04    0.17700E+02    0.90340E+02
   347    0.24508E+04    0.17851E+02    0.88924E+02
   348    0.24255E+04    0.18000E+02    0.87479E+02
   349    0.24004E+04    0.18147E+02    0.86005E+02
   350    0.23758E+04    0.18291E+02    0.84510E+02
   351    0.23518E+04    0.18432E+02    0.82987E+02
   352    0.23279E+04    0.18572E+02    0.81435E+02
   353    0.23045E+04    0.18708E+02    0.79870E+02
   354    0.22814E+04    0.18841E+02    0.78270E+02
   355    0.22588E+04    0.18972E+02    0.76648E+02
   356    0.22366E+04    0.19101E+02    0.75013E+02
   357    0.22148E+04    0.19226E+02    0.73350E+02
   358    0.21935E+04    0.19347E+02    0.71673E+02
   359    0.21725E+04    0.19466E+02    0.69969E+02
   360    0.21519E+04    0.19582E+02    0.68247E+02
   361    0.21318E+04    0.19695E+02    0.66505E+02
   362    0.21121E+04    0.19805E+02    0.64744E+02
   363    0.20928E+04    0.19912E+02    0.62967E+02
   364    0.20740E+04    0.20015E+02    0.61170E+02
   365    0.20556E+04    0.20115E+02    0.59359E+02
   366    0.20377E+04    0.20212E+02    0.57532E+02
   367    0.20202E+04    0.20304E+02    0.55691E+02
   368    0.20030E+04    0.20394E+02    0.53837E+02
   369    0.19865E+04    0.20480E+02    0.51967E+02
   370    0.19703E+04    0.20563E+02    0.50088E+02
   371    0.19546E+04    0.20642E+02    0.48196E+02
   372    0.19392E+04    0.20717E+02    0.46294E+02
   373    0.19244E+04    0.20789E+02    0.44381E+02
   374    0.19100E+04    0.20858E+02    0.42460E+02
   375    0.18960E+04    0.20922E+02    0.40530E+02
   376    0.18826E+04    0.20984E+02    0.38593E+02
   377    0.18696E+04    0.21041E+02    0.36650E+02
   378    0.18570E+04    0.21094E+02    0.34700E+02
   379    0.18448E+04    0.21143E+02    0.32746E+02
   380    0.18332E+04    0.21190E+02    0.30787E+02
   381    0.18219E+04    0.21230E+02    0.28825E+02
   382    0.18111E+04    0.21268E+02    0.26861E+02
   383    0.18008E+04    0.21302E+02    0.24894E+02
   384    0.17910E+04    0.21331E+02    0.22928E+02
   385    0.17815E+04    0.21358E+02    0.20960E+02
   386    0.17725E+04    0.21380E+02    0.18994E+02
   387    0.17639E+04    0.21397E+02    0.17029E+02
   388    0.17558E+04    0.21411E+02    0.15068E+02
