#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.533561E-03   0.202108E+08   0.202093E+08   0.560169E+07   0.525358E+07   0.200977E+08   0.202100E+08   0.202106E+08   0.202117E+08  -0.456350E+00   0.988768E+07   0.988730E+07   0.236714E+03
   0.589397E-03   0.201942E+08   0.201924E+08   0.397453E+07   0.366070E+07   0.200563E+08   0.201933E+08   0.201939E+08   0.201945E+08  -0.455938E+00   0.987937E+07   0.987894E+07   0.243454E+03
   0.651076E-03   0.201746E+08   0.201725E+08   0.269078E+07   0.243041E+07   0.200068E+08   0.201735E+08   0.201743E+08   0.201743E+08  -0.455460E+00   0.986954E+07   0.986906E+07   0.247455E+03
   0.719210E-03   0.201515E+08   0.201491E+08   0.180437E+07   0.161128E+07   0.199476E+08   0.201501E+08   0.201511E+08   0.201507E+08  -0.454906E+00   0.985798E+07   0.985744E+07   0.248333E+03
   0.794474E-03   0.201244E+08   0.201217E+08   0.129351E+07   0.117081E+07   0.198772E+08   0.201227E+08   0.201239E+08   0.201231E+08  -0.454267E+00   0.984443E+07   0.984384E+07   0.245881E+03
   0.877614E-03   0.200926E+08   0.200896E+08   0.104997E+07   0.986342E+06   0.197937E+08   0.200907E+08   0.200921E+08   0.200910E+08  -0.453529E+00   0.982862E+07   0.982799E+07   0.240103E+03
   0.969454E-03   0.200557E+08   0.200524E+08   0.909973E+06   0.881038E+06   0.196950E+08   0.200534E+08   0.200552E+08   0.200537E+08  -0.452677E+00   0.981027E+07   0.980959E+07   0.231211E+03
   0.107091E-02   0.200129E+08   0.200093E+08   0.732776E+06   0.709684E+06   0.195789E+08   0.200102E+08   0.200123E+08   0.200104E+08  -0.451693E+00   0.978901E+07   0.978830E+07   0.219562E+03
   0.118297E-02   0.199633E+08   0.199595E+08   0.488969E+06   0.451697E+06   0.194429E+08   0.199602E+08   0.199626E+08   0.199603E+08  -0.450557E+00   0.976447E+07   0.976374E+07   0.205592E+03
   0.130677E-02   0.199061E+08   0.199021E+08   0.273102E+06   0.219680E+06   0.192849E+08   0.199025E+08   0.199054E+08   0.199026E+08  -0.449249E+00   0.973621E+07   0.973547E+07   0.189795E+03
   0.144352E-02   0.198404E+08   0.198363E+08   0.183872E+06   0.126162E+06   0.191029E+08   0.198362E+08   0.198397E+08   0.198362E+08  -0.447747E+00   0.970375E+07   0.970300E+07   0.172789E+03
   0.159458E-02   0.197650E+08   0.197609E+08   0.176448E+06   0.125132E+06   0.188949E+08   0.197602E+08   0.197643E+08   0.197602E+08  -0.446028E+00   0.966656E+07   0.966582E+07   0.155378E+03
   0.176145E-02   0.196789E+08   0.196747E+08   0.120160E+06   0.755582E+05   0.186592E+08   0.196733E+08   0.196782E+08   0.196734E+08  -0.444065E+00   0.962410E+07   0.962337E+07   0.138473E+03
   0.194578E-02   0.195807E+08   0.195766E+08   0.311800E+05  -0.127242E+05   0.183943E+08   0.195744E+08   0.195801E+08   0.195744E+08  -0.441830E+00   0.957576E+07   0.957504E+07   0.122864E+03
   0.214940E-02   0.194694E+08   0.194653E+08   0.250779E+05   0.238957E+04   0.180998E+08   0.194622E+08   0.194687E+08   0.194622E+08  -0.439295E+00   0.952091E+07   0.952020E+07   0.109094E+03
   0.237433E-02   0.193434E+08   0.193393E+08   0.307409E+05   0.948148E+05   0.177752E+08   0.193353E+08   0.193427E+08   0.193353E+08  -0.436429E+00   0.945890E+07   0.945820E+07   0.974381E+02
   0.262280E-02   0.192015E+08   0.191972E+08  -0.467085E+04   0.682835E+05   0.174207E+08   0.191923E+08   0.192008E+08   0.191923E+08  -0.433201E+00   0.938905E+07   0.938836E+07   0.877691E+02
   0.289727E-02   0.190422E+08   0.190377E+08   0.490037E+04   0.733005E+05   0.170363E+08   0.190319E+08   0.190414E+08   0.190319E+08  -0.429580E+00   0.931070E+07   0.931001E+07   0.795453E+02
   0.320047E-02   0.188642E+08   0.188595E+08  -0.113877E+05   0.546027E+05   0.166215E+08   0.188528E+08   0.188634E+08   0.188528E+08  -0.425535E+00   0.922318E+07   0.922249E+07   0.721264E+02
   0.353539E-02   0.186661E+08   0.186611E+08  -0.898103E+04   0.516322E+05   0.161757E+08   0.186534E+08   0.186652E+08   0.186534E+08  -0.421035E+00   0.912582E+07   0.912513E+07   0.650460E+02
   0.390536E-02   0.184465E+08   0.184414E+08  -0.170436E+05   0.355609E+05   0.156979E+08   0.184327E+08   0.184457E+08   0.184327E+08  -0.416051E+00   0.901798E+07   0.901730E+07   0.582874E+02
   0.431405E-02   0.182043E+08   0.181988E+08  -0.799533E+04   0.335019E+05   0.151878E+08   0.181891E+08   0.182034E+08   0.181891E+08  -0.410553E+00   0.889901E+07   0.889833E+07   0.521416E+02
   0.476550E-02   0.179380E+08   0.179322E+08  -0.533562E+04   0.269525E+05   0.146465E+08   0.179215E+08   0.179370E+08   0.179215E+08  -0.404512E+00   0.876829E+07   0.876762E+07   0.468114E+02
   0.526420E-02   0.176466E+08   0.176402E+08  -0.920335E+04   0.197791E+05   0.140731E+08   0.176286E+08   0.176455E+08   0.176286E+08  -0.397901E+00   0.862522E+07   0.862456E+07   0.421344E+02
   0.581509E-02   0.173292E+08   0.173222E+08  -0.771010E+04   0.154622E+05   0.134435E+08   0.173096E+08   0.173280E+08   0.173096E+08  -0.390701E+00   0.846943E+07   0.846877E+07   0.378273E+02
   0.642363E-02   0.169837E+08   0.169760E+08  -0.849322E+04   0.124535E+05   0.127949E+08   0.169626E+08   0.169824E+08   0.169626E+08  -0.382868E+00   0.829990E+07   0.829925E+07   0.338811E+02
   0.709585E-02   0.166095E+08   0.166009E+08  -0.648457E+04   0.100871E+05   0.121148E+08   0.165868E+08   0.166080E+08   0.165868E+08  -0.374385E+00   0.811631E+07   0.811566E+07   0.304148E+02
