#    L    TT             EE             BB             TE             PP             TP             EP          
    94   0.245825E+04   0.647391E+00   0.000000E+00  -0.187787E+02   0.976604E-07   0.416378E-03  -0.994737E-06
    95   0.248782E+04   0.661862E+00   0.000000E+00  -0.194031E+02   0.970122E-07   0.410995E-03  -0.995586E-06
    96   0.251738E+04   0.676257E+00   0.000000E+00  -0.200308E+02   0.963678E-07   0.405736E-03  -0.988097E-06
    97   0.254736E+04   0.690562E+00   0.000000E+00  -0.206611E+02   0.957271E-07   0.400597E-03  -0.973249E-06
    98   0.257755E+04   0.704769E+00   0.000000E+00  -0.212917E+02   0.950902E-07   0.395573E-03  -0.952019E-06
    99   0.260779E+04   0.718843E+00   0.000000E+00  -0.219259E+02   0.944571E-07   0.390659E-03  -0.925383E-06
   100   0.263833E+04   0.732785E+00   0.000000E+00  -0.225590E+02   0.938279E-07   0.385852E-03  -0.894316E-06
   101   0.266900E+04   0.746654E+00   0.000000E+00  -0.231940E+02   0.932026E-07   0.381148E-03  -0.859792E-06
   102   0.270018E+04   0.760303E+00   0.000000E+00  -0.238289E+02   0.925813E-07   0.376541E-03  -0.822786E-06
   103   0.273127E+04   0.773806E+00   0.000000E+00  -0.244644E+02   0.919640E-07   0.372027E-03  -0.784271E-06
   104   0.276259E+04   0.787165E+00   0.000000E+00  -0.250975E+02   0.913508E-07   0.367603E-03  -0.745220E-06
   105   0.279404E+04   0.800306E+00   0.000000E+00  -0.257297E+02   0.907416E-07   0.363263E-03  -0.706605E-06
   106   0.282572E+04   0.813304E+00   0.000000E+00  -0.263605E+02   0.901367E-07   0.359004E-03  -0.669399E-06
   107   0.285732E+04   0.826011E+00   0.000000E+00  -0.269882E+02   0.895360E-07   0.354822E-03  -0.634572E-06
   108   0.288929E+04   0.838502E+00   0.000000E+00  -0.276136E+02   0.889395E-07   0.350711E-03  -0.603095E-06
   109   0.292141E+04   0.850704E+00   0.000000E+00  -0.282355E+02   0.883474E-07   0.346668E-03  -0.575939E-06
   110   0.295361E+04   0.862617E+00   0.000000E+00  -0.288521E+02   0.877597E-07   0.342688E-03  -0.554074E-06
   111   0.298596E+04   0.874316E+00   0.000000E+00  -0.294652E+02   0.871763E-07   0.338768E-03  -0.538231E-06
   112   0.301846E+04   0.885727E+00   0.000000E+00  -0.300739E+02   0.865974E-07   0.334906E-03  -0.528184E-06
   113   0.305118E+04   0.896852E+00   0.000000E+00  -0.306767E+02   0.860229E-07   0.331102E-03  -0.523472E-06
   114   0.308398E+04   0.907615E+00   0.000000E+00  -0.312729E+02   0.854528E-07   0.327355E-03  -0.523632E-06
   115   0.311700E+04   0.918166E+00   0.000000E+00  -0.318625E+02   0.848871E-07   0.323664E-03  -0.528200E-06
   116   0.315002E+04   0.928281E+00   0.000000E+00  -0.324446E+02   0.843257E-07   0.320029E-03  -0.536715E-06
   117   0.318334E+04   0.938037E+00   0.000000E+00  -0.330186E+02   0.837687E-07   0.316448E-03  -0.548716E-06
   118   0.321680E+04   0.947581E+00   0.000000E+00  -0.335851E+02   0.832161E-07   0.312922E-03  -0.563739E-06
   119   0.325025E+04   0.956766E+00   0.000000E+00  -0.341420E+02   0.826678E-07   0.309449E-03  -0.581325E-06
   120   0.328385E+04   0.965442E+00   0.000000E+00  -0.346891E+02   0.821238E-07   0.306029E-03  -0.601012E-06
   121   0.331743E+04   0.973909E+00   0.000000E+00  -0.352265E+02   0.815841E-07   0.302661E-03  -0.622338E-06
   122   0.335109E+04   0.981868E+00   0.000000E+00  -0.357535E+02   0.810488E-07   0.299345E-03  -0.644843E-06
   123   0.338480E+04   0.989394E+00   0.000000E+00  -0.362699E+02   0.805178E-07   0.296079E-03  -0.668067E-06
   124   0.341858E+04   0.996562E+00   0.000000E+00  -0.367728E+02   0.799911E-07   0.292864E-03  -0.691549E-06
   125   0.345235E+04   0.100330E+01   0.000000E+00  -0.372645E+02   0.794687E-07   0.289698E-03  -0.714829E-06
   126   0.348618E+04   0.100968E+01   0.000000E+00  -0.377441E+02   0.789505E-07   0.286580E-03  -0.737446E-06
   127   0.351999E+04   0.101555E+01   0.000000E+00  -0.382109E+02   0.784367E-07   0.283511E-03  -0.758942E-06
   128   0.355379E+04   0.102107E+01   0.000000E+00  -0.386642E+02   0.779271E-07   0.280489E-03  -0.778856E-06
   129   0.358764E+04   0.102608E+01   0.000000E+00  -0.391031E+02   0.774218E-07   0.277514E-03  -0.796728E-06
   130   0.362147E+04   0.103059E+01   0.000000E+00  -0.395269E+02   0.769208E-07   0.274585E-03  -0.812100E-06
   131   0.365529E+04   0.103474E+01   0.000000E+00  -0.399372E+02   0.764240E-07   0.271701E-03  -0.824619E-06
   132   0.368916E+04   0.103839E+01   0.000000E+00  -0.403309E+02   0.759314E-07   0.268862E-03  -0.834369E-06
   133   0.372294E+04   0.104160E+01   0.000000E+00  -0.407103E+02   0.754430E-07   0.266066E-03  -0.841537E-06
   134   0.375670E+04   0.104439E+01   0.000000E+00  -0.410710E+02   0.749588E-07   0.263314E-03  -0.846314E-06
   135   0.379045E+04   0.104668E+01   0.000000E+00  -0.414161E+02   0.744788E-07   0.260604E-03  -0.848889E-06
   136   0.382403E+04   0.104846E+01   0.000000E+00  -0.417417E+02   0.740028E-07   0.257935E-03  -0.849450E-06
   137   0.385760E+04   0.104982E+01   0.000000E+00  -0.420503E+02   0.735308E-07   0.255307E-03  -0.848188E-06
   138   0.389109E+04   0.105067E+01   0.000000E+00  -0.423403E+02   0.730629E-07   0.252719E-03  -0.845291E-06
   139   0.392435E+04   0.105117E+01   0.000000E+00  -0.426111E+02   0.725990E-07   0.250170E-03  -0.840948E-06
   140   0.395767E+04   0.105109E+01   0.000000E+00  -0.428634E+02   0.721391E-07   0.247659E-03  -0.835348E-06
   141   0.399075E+04   0.105052E+01   0.000000E+00  -0.430950E+02   0.716831E-07   0.245186E-03  -0.828681E-06
   142   0.402384E+04   0.104951E+01   0.000000E+00  -0.433067E+02   0.712311E-07   0.242750E-03  -0.821134E-06
   143   0.405684E+04   0.104809E+01   0.000000E+00  -0.434986E+02   0.707829E-07   0.240350E-03  -0.812897E-06
   144   0.408962E+04   0.104616E+01   0.000000E+00  -0.436699E+02   0.703385E-07   0.237985E-03  -0.804158E-06
   145   0.412225E+04   0.104388E+01   0.000000E+00  -0.438200E+02   0.698979E-07   0.235654E-03  -0.795106E-06
   146   0.415495E+04   0.104102E+01   0.000000E+00  -0.439489E+02   0.694612E-07   0.233358E-03  -0.785930E-06
   147   0.418728E+04   0.103782E+01   0.000000E+00  -0.440551E+02   0.690282E-07   0.231094E-03  -0.776818E-06
   148   0.421946E+04   0.103411E+01   0.000000E+00  -0.441401E+02   0.685989E-07   0.228863E-03  -0.767958E-06
   149   0.425157E+04   0.102999E+01   0.000000E+00  -0.442026E+02   0.681733E-07   0.226663E-03  -0.759540E-06
   150   0.428338E+04   0.102551E+01   0.000000E+00  -0.442402E+02   0.677514E-07   0.224493E-03  -0.751751E-06
   151   0.431505E+04   0.102061E+01   0.000000E+00  -0.442561E+02   0.673332E-07   0.222354E-03  -0.744737E-06
   152   0.434643E+04   0.101521E+01   0.000000E+00  -0.442487E+02   0.669185E-07   0.220244E-03  -0.738477E-06
   153   0.437767E+04   0.100946E+01   0.000000E+00  -0.442159E+02   0.665074E-07   0.218163E-03  -0.732906E-06
   154   0.440868E+04   0.100336E+01   0.000000E+00  -0.441597E+02   0.660999E-07   0.216110E-03  -0.727959E-06
   155   0.443947E+04   0.996911E+00   0.000000E+00  -0.440795E+02   0.656959E-07   0.214085E-03  -0.723573E-06
   156   0.446990E+04   0.990111E+00   0.000000E+00  -0.439753E+02   0.652954E-07   0.212087E-03  -0.719683E-06
   157   0.450025E+04   0.982959E+00   0.000000E+00  -0.438456E+02   0.648984E-07   0.210116E-03  -0.716224E-06
   158   0.453030E+04   0.975531E+00   0.000000E+00  -0.436910E+02   0.645048E-07   0.208171E-03  -0.713132E-06
   159   0.456005E+04   0.967676E+00   0.000000E+00  -0.435117E+02   0.641146E-07   0.206252E-03  -0.710344E-06
   160   0.458958E+04   0.959543E+00   0.000000E+00  -0.433061E+02   0.637279E-07   0.204358E-03  -0.707794E-06
   161   0.461888E+04   0.951207E+00   0.000000E+00  -0.430757E+02   0.633445E-07   0.202489E-03  -0.705418E-06
   162   0.464788E+04   0.942518E+00   0.000000E+00  -0.428205E+02   0.629645E-07   0.200644E-03  -0.703154E-06
   163   0.467673E+04   0.933550E+00   0.000000E+00  -0.425390E+02   0.625878E-07   0.198822E-03  -0.700935E-06
   164   0.470513E+04   0.924377E+00   0.000000E+00  -0.422327E+02   0.622143E-07   0.197024E-03  -0.698698E-06
