#    L    TT             EE             BB             TE             PP             TP             EP          
    98   0.266909E+04   0.668010E+00   0.000000E+00  -0.208348E+02   0.144484E-06  -0.140926E-02  -0.677539E-06
    99   0.269960E+04   0.681832E+00   0.000000E+00  -0.214614E+02   0.143213E-06  -0.138026E-02  -0.696194E-06
   100   0.273040E+04   0.695555E+00   0.000000E+00  -0.220874E+02   0.141957E-06  -0.135205E-02  -0.716195E-06
   101   0.276136E+04   0.709239E+00   0.000000E+00  -0.227161E+02   0.140717E-06  -0.132459E-02  -0.737316E-06
   102   0.279284E+04   0.722738E+00   0.000000E+00  -0.233452E+02   0.139493E-06  -0.129786E-02  -0.759329E-06
   103   0.282424E+04   0.736127E+00   0.000000E+00  -0.239757E+02   0.138284E-06  -0.127184E-02  -0.782006E-06
   104   0.285588E+04   0.749408E+00   0.000000E+00  -0.246045E+02   0.137089E-06  -0.124651E-02  -0.805121E-06
   105   0.288768E+04   0.762508E+00   0.000000E+00  -0.252334E+02   0.135909E-06  -0.122184E-02  -0.828447E-06
   106   0.291970E+04   0.775503E+00   0.000000E+00  -0.258616E+02   0.134744E-06  -0.119781E-02  -0.851756E-06
   107   0.295166E+04   0.788246E+00   0.000000E+00  -0.264878E+02   0.133593E-06  -0.117440E-02  -0.874822E-06
   108   0.298401E+04   0.800813E+00   0.000000E+00  -0.271127E+02   0.132456E-06  -0.115158E-02  -0.897418E-06
   109   0.301651E+04   0.813131E+00   0.000000E+00  -0.277351E+02   0.131333E-06  -0.112934E-02  -0.919318E-06
   110   0.304911E+04   0.825202E+00   0.000000E+00  -0.283535E+02   0.130223E-06  -0.110763E-02  -0.940296E-06
   111   0.308186E+04   0.837102E+00   0.000000E+00  -0.289695E+02   0.129127E-06  -0.108646E-02  -0.960157E-06
   112   0.311479E+04   0.848755E+00   0.000000E+00  -0.295824E+02   0.128043E-06  -0.106580E-02  -0.978832E-06
   113   0.314794E+04   0.860164E+00   0.000000E+00  -0.301905E+02   0.126973E-06  -0.104564E-02  -0.996286E-06
   114   0.318118E+04   0.871253E+00   0.000000E+00  -0.307933E+02   0.125916E-06  -0.102597E-02  -0.101248E-05
   115   0.321466E+04   0.882172E+00   0.000000E+00  -0.313907E+02   0.124871E-06  -0.100677E-02  -0.102738E-05
   116   0.324814E+04   0.892698E+00   0.000000E+00  -0.319820E+02   0.123838E-06  -0.988046E-03  -0.104096E-05
   117   0.328193E+04   0.902905E+00   0.000000E+00  -0.325663E+02   0.122818E-06  -0.969774E-03  -0.105316E-05
   118   0.331588E+04   0.912942E+00   0.000000E+00  -0.331445E+02   0.121810E-06  -0.951945E-03  -0.106396E-05
   119   0.334983E+04   0.922661E+00   0.000000E+00  -0.337143E+02   0.120814E-06  -0.934548E-03  -0.107333E-05
   120   0.338393E+04   0.931914E+00   0.000000E+00  -0.342757E+02   0.119830E-06  -0.917571E-03  -0.108121E-05
   121   0.341803E+04   0.940998E+00   0.000000E+00  -0.348286E+02   0.118857E-06  -0.901003E-03  -0.108759E-05
   122   0.345221E+04   0.949615E+00   0.000000E+00  -0.353724E+02   0.117896E-06  -0.884832E-03  -0.109242E-05
   123   0.348646E+04   0.957841E+00   0.000000E+00  -0.359070E+02   0.116946E-06  -0.869047E-03  -0.109566E-05
   124   0.352079E+04   0.965750E+00   0.000000E+00  -0.364295E+02   0.116008E-06  -0.853637E-03  -0.109728E-05
   125   0.355511E+04   0.973268E+00   0.000000E+00  -0.369420E+02   0.115080E-06  -0.838589E-03  -0.109725E-05
   126   0.358950E+04   0.980470E+00   0.000000E+00  -0.374439E+02   0.114163E-06  -0.823893E-03  -0.109552E-05
   127   0.362389E+04   0.987207E+00   0.000000E+00  -0.379343E+02   0.113256E-06  -0.809537E-03  -0.109206E-05
