#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105696E-01   0.149011E+08   0.148872E+08  -0.195359E+04  -0.450182E+04   0.000000E+00   0.148988E+08   0.148988E+08   0.148988E+08  -0.334692E+00   0.726821E+07   0.726758E+07   0.199386E+02
   0.116760E-01   0.143700E+08   0.143541E+08  -0.248881E+04  -0.355748E+04   0.000000E+00   0.143673E+08   0.143673E+08   0.143673E+08  -0.322754E+00   0.700896E+07   0.700833E+07   0.179783E+02
   0.128982E-01   0.138047E+08   0.137865E+08  -0.156906E+04  -0.280045E+04   0.000000E+00   0.138017E+08   0.138017E+08   0.138017E+08  -0.310046E+00   0.673300E+07   0.673238E+07   0.162359E+02
   0.142484E-01   0.132050E+08   0.131841E+08  -0.157537E+04  -0.219507E+04   0.000000E+00   0.132015E+08   0.132015E+08   0.132015E+08  -0.296563E+00   0.644021E+07   0.643958E+07   0.146911E+02
   0.157398E-01   0.125709E+08   0.125471E+08  -0.125989E+04  -0.171232E+04   0.000000E+00   0.125669E+08   0.125669E+08   0.125669E+08  -0.282309E+00   0.613066E+07   0.613003E+07   0.133158E+02
   0.173875E-01   0.119305E+08   0.119034E+08  -0.887956E+03  -0.133162E+04   0.000000E+00   0.119260E+08   0.119260E+08   0.119260E+08  -0.267910E+00   0.581798E+07   0.581735E+07   0.121048E+02
   0.192076E-01   0.112355E+08   0.112048E+08  -0.838868E+03  -0.102757E+04   0.000000E+00   0.112304E+08   0.112304E+08   0.112304E+08  -0.252283E+00   0.547863E+07   0.547800E+07   0.109957E+02
   0.212182E-01   0.105127E+08   0.104783E+08  -0.634568E+03  -0.787820E+03   0.000000E+00   0.105070E+08   0.105070E+08   0.105070E+08  -0.236032E+00   0.512573E+07   0.512510E+07   0.998096E+01
   0.234392E-01   0.974846E+07   0.971037E+07  -0.462063E+03  -0.598596E+03   0.000000E+00   0.974206E+07   0.974206E+07   0.974206E+07  -0.218850E+00   0.475260E+07   0.475196E+07   0.902497E+01
   0.258928E-01   0.898675E+07   0.894524E+07  -0.385215E+03  -0.452149E+03   0.000000E+00   0.897978E+07   0.897978E+07   0.897978E+07  -0.201725E+00   0.438073E+07   0.438010E+07   0.812096E+01
   0.286032E-01   0.823367E+07   0.818934E+07  -0.288951E+03  -0.339430E+03   0.000000E+00   0.822623E+07   0.822623E+07   0.822623E+07  -0.184797E+00   0.401312E+07   0.401250E+07   0.724354E+01
   0.315974E-01   0.747913E+07   0.743298E+07  -0.206559E+03  -0.252629E+03   0.000000E+00   0.747138E+07   0.747138E+07   0.747138E+07  -0.167840E+00   0.364488E+07   0.364427E+07   0.636310E+01
   0.349049E-01   0.675967E+07   0.671315E+07  -0.168834E+03  -0.187085E+03   0.000000E+00   0.675186E+07   0.675186E+07   0.675186E+07  -0.151676E+00   0.329387E+07   0.329329E+07   0.547725E+01
   0.385587E-01   0.609136E+07   0.604634E+07  -0.121587E+03  -0.138140E+03   0.000000E+00   0.608380E+07   0.608380E+07   0.608380E+07  -0.136669E+00   0.296796E+07   0.296743E+07   0.458526E+01
   0.425950E-01   0.549272E+07   0.545129E+07  -0.824289E+02  -0.102073E+03   0.000000E+00   0.548576E+07   0.548576E+07   0.548576E+07  -0.123234E+00   0.267621E+07   0.267574E+07   0.370283E+01
   0.468545E-01   0.499529E+07   0.495920E+07   0.530822E+02  -0.767215E+02   0.000000E+00   0.498923E+07   0.498923E+07   0.498923E+07  -0.112080E+00   0.243398E+07   0.243357E+07   0.289636E+01
   0.511140E-01   0.461169E+07   0.458166E+07   0.411857E+02  -0.595228E+02   0.000000E+00   0.460664E+07   0.460664E+07   0.460664E+07  -0.103486E+00   0.224732E+07   0.224698E+07   0.222854E+01
   0.553735E-01   0.430326E+07   0.427917E+07   0.327532E+02  -0.473320E+02   0.000000E+00   0.429921E+07   0.429921E+07   0.429921E+07  -0.965792E-01   0.209734E+07   0.209706E+07   0.170163E+01
   0.596330E-01   0.404205E+07   0.402310E+07   0.265326E+02  -0.383397E+02   0.000000E+00   0.403887E+07   0.403887E+07   0.403887E+07  -0.907308E-01   0.197033E+07   0.197009E+07   0.131049E+01
   0.638925E-01   0.380914E+07   0.379403E+07   0.217846E+02  -0.314772E+02   0.000000E+00   0.380660E+07   0.380660E+07   0.380660E+07  -0.855131E-01   0.185702E+07   0.185682E+07   0.104161E+01
   0.681520E-01   0.358973E+07   0.357698E+07   0.180453E+02  -0.260736E+02   0.000000E+00   0.358759E+07   0.358759E+07   0.358759E+07  -0.805931E-01   0.175017E+07   0.174999E+07   0.873876E+00
   0.724115E-01   0.337843E+07   0.336662E+07   0.150440E+02  -0.217371E+02   0.000000E+00   0.337645E+07   0.337645E+07   0.337645E+07  -0.758500E-01   0.164717E+07   0.164700E+07   0.782745E+00
   0.766710E-01   0.316028E+07   0.314827E+07   0.125514E+02  -0.181361E+02   0.000000E+00   0.315826E+07   0.315826E+07   0.315826E+07  -0.709485E-01   0.154073E+07   0.154056E+07   0.739669E+00
