#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    62   0.163075E+04  -0.265978E+01   0.679276E-03  -0.265978E+01   0.219594E+00  -0.466947E-06   0.679276E-03  -0.466947E-06   0.119525E-06
    63   0.165291E+04  -0.299858E+01   0.667655E-03  -0.299858E+01   0.230228E+00  -0.436582E-06   0.667655E-03  -0.436582E-06   0.118848E-06
    64   0.167547E+04  -0.335236E+01   0.656143E-03  -0.335236E+01   0.241158E+00  -0.412682E-06   0.656143E-03  -0.412682E-06   0.118166E-06
    65   0.169804E+04  -0.372184E+01   0.644713E-03  -0.372184E+01   0.252355E+00  -0.396853E-06   0.644713E-03  -0.396853E-06   0.117481E-06
    66   0.172092E+04  -0.410519E+01   0.633361E-03  -0.410519E+01   0.263752E+00  -0.390692E-06   0.633361E-03  -0.390692E-06   0.116793E-06
    67   0.174394E+04  -0.449959E+01   0.622167E-03  -0.449959E+01   0.275349E+00  -0.395786E-06   0.622167E-03  -0.395786E-06   0.116104E-06
    68   0.176739E+04  -0.490324E+01   0.611233E-03  -0.490324E+01   0.287187E+00  -0.413716E-06   0.611233E-03  -0.413716E-06   0.115412E-06
    69   0.179102E+04  -0.531428E+01   0.600660E-03  -0.531428E+01   0.299228E+00  -0.446061E-06   0.600660E-03  -0.446061E-06   0.114720E-06
    70   0.181498E+04  -0.573426E+01   0.590550E-03  -0.573426E+01   0.311511E+00  -0.494404E-06   0.590550E-03  -0.494404E-06   0.114027E-06
    71   0.183910E+04  -0.616548E+01   0.580974E-03  -0.616548E+01   0.324028E+00  -0.558156E-06   0.580974E-03  -0.558156E-06   0.113333E-06
    72   0.186342E+04  -0.660938E+01   0.571885E-03  -0.660938E+01   0.336750E+00  -0.628052E-06   0.571885E-03  -0.628052E-06   0.112639E-06
    73   0.188789E+04  -0.706664E+01   0.563204E-03  -0.706664E+01   0.349645E+00  -0.692657E-06   0.563204E-03  -0.692657E-06   0.111944E-06
    74   0.191256E+04  -0.753649E+01   0.554852E-03  -0.753649E+01   0.362700E+00  -0.740535E-06   0.554852E-03  -0.740535E-06   0.111250E-06
    75   0.193755E+04  -0.801753E+01   0.546752E-03  -0.801753E+01   0.375927E+00  -0.760254E-06   0.546752E-03  -0.760254E-06   0.110555E-06
    76   0.196279E+04  -0.850920E+01   0.538832E-03  -0.850920E+01   0.389326E+00  -0.744366E-06   0.538832E-03  -0.744366E-06   0.109860E-06
    77   0.198834E+04  -0.901132E+01   0.531051E-03  -0.901132E+01   0.402889E+00  -0.701380E-06   0.531051E-03  -0.701380E-06   0.109165E-06
    78   0.201424E+04  -0.952529E+01   0.523375E-03  -0.952529E+01   0.416641E+00  -0.643793E-06   0.523375E-03  -0.643793E-06   0.108470E-06
    79   0.204031E+04  -0.100473E+02   0.515770E-03  -0.100473E+02   0.430528E+00  -0.584101E-06   0.515770E-03  -0.584101E-06   0.107776E-06
    80   0.206665E+04  -0.105787E+02   0.508203E-03  -0.105787E+02   0.444553E+00  -0.534802E-06   0.508203E-03  -0.534802E-06   0.107084E-06
    81   0.209316E+04  -0.111200E+02   0.500652E-03  -0.111200E+02   0.458667E+00  -0.505989E-06   0.500652E-03  -0.505989E-06   0.106393E-06
    82   0.211992E+04  -0.116701E+02   0.493151E-03  -0.116701E+02   0.472890E+00  -0.498136E-06   0.493151E-03  -0.498136E-06   0.105704E-06
    83   0.214687E+04  -0.122287E+02   0.485747E-03  -0.122287E+02   0.487197E+00  -0.509316E-06   0.485747E-03  -0.509316E-06   0.105018E-06
    84   0.217409E+04  -0.127937E+02   0.478488E-03  -0.127937E+02   0.501586E+00  -0.537599E-06   0.478488E-03  -0.537599E-06   0.104333E-06
    85   0.220145E+04  -0.133663E+02   0.471421E-03  -0.133663E+02   0.516032E+00  -0.581057E-06   0.471421E-03  -0.581057E-06   0.103652E-06
    86   0.222904E+04  -0.139454E+02   0.464581E-03  -0.139454E+02   0.530546E+00  -0.637200E-06   0.464581E-03  -0.637200E-06   0.102973E-06
    87   0.225707E+04  -0.145301E+02   0.457962E-03  -0.145301E+02   0.545099E+00  -0.701298E-06   0.457962E-03  -0.701298E-06   0.102297E-06
    88   0.228509E+04  -0.151206E+02   0.451543E-03  -0.151206E+02   0.559706E+00  -0.768059E-06   0.451543E-03  -0.768059E-06   0.101625E-06
    89   0.231346E+04  -0.157185E+02   0.445308E-03  -0.157185E+02   0.574351E+00  -0.832189E-06   0.445308E-03  -0.832189E-06   0.100955E-06
    90   0.234204E+04  -0.163209E+02   0.439237E-03  -0.163209E+02   0.588999E+00  -0.888399E-06   0.439237E-03  -0.888399E-06   0.100289E-06
    91   0.237074E+04  -0.169287E+02   0.433314E-03  -0.169287E+02   0.603640E+00  -0.932440E-06   0.433314E-03  -0.932440E-06   0.996266E-07
    92   0.239971E+04  -0.175412E+02   0.427532E-03  -0.175412E+02   0.618263E+00  -0.964241E-06   0.427532E-03  -0.964241E-06   0.989675E-07
    93   0.242895E+04  -0.181583E+02   0.421888E-03  -0.181583E+02   0.632858E+00  -0.984777E-06   0.421888E-03  -0.984777E-06   0.983120E-07
    94   0.245825E+04  -0.187787E+02   0.416376E-03  -0.187787E+02   0.647391E+00  -0.995022E-06   0.416376E-03  -0.995022E-06   0.976602E-07
    95   0.248782E+04  -0.194031E+02   0.410992E-03  -0.194031E+02   0.661862E+00  -0.995950E-06   0.410992E-03  -0.995950E-06   0.970119E-07
    96   0.251738E+04  -0.200308E+02   0.405733E-03  -0.200308E+02   0.676257E+00  -0.988534E-06   0.405733E-03  -0.988534E-06   0.963674E-07
    97   0.254736E+04  -0.206611E+02   0.400593E-03  -0.206611E+02   0.690562E+00  -0.973749E-06   0.400593E-03  -0.973749E-06   0.957267E-07
    98   0.257755E+04  -0.212917E+02   0.395568E-03  -0.212917E+02   0.704769E+00  -0.952569E-06   0.395568E-03  -0.952569E-06   0.950897E-07
    99   0.260779E+04  -0.219259E+02   0.390654E-03  -0.219259E+02   0.718843E+00  -0.925966E-06   0.390654E-03  -0.925966E-06   0.944566E-07
   100   0.263833E+04  -0.225590E+02   0.385847E-03  -0.225590E+02   0.732785E+00  -0.894917E-06   0.385847E-03  -0.894917E-06   0.938274E-07
   101   0.266900E+04  -0.231940E+02   0.381143E-03  -0.231940E+02   0.746654E+00  -0.860393E-06   0.381143E-03  -0.860393E-06   0.932021E-07
   102   0.270018E+04  -0.238289E+02   0.376536E-03  -0.238289E+02   0.760303E+00  -0.823371E-06   0.376536E-03  -0.823371E-06   0.925808E-07
   103   0.273127E+04  -0.244644E+02   0.372023E-03  -0.244644E+02   0.773806E+00  -0.784822E-06   0.372023E-03  -0.784822E-06   0.919635E-07
   104   0.276259E+04  -0.250975E+02   0.367599E-03  -0.250975E+02   0.787165E+00  -0.745722E-06   0.367599E-03  -0.745722E-06   0.913504E-07
